episode,mean_i,mean_c,var_i,var_c,loss
39,0.4968424141407013,0.4939497411251068,0.8807585835456848,0.8983043432235718,-2.0012103e-05
40,0.5007182359695435,0.49813923239707947,0.8869220018386841,0.9040859937667847,0.00057833275
41,0.5031323432922363,0.5007705688476562,0.8927485942840576,0.909419596195221,-0.00011463143
42,0.5053431987762451,0.5031635761260986,0.8988745808601379,0.9151212573051453,0.0008117302
43,0.5094563961029053,0.507590115070343,0.9050827026367188,0.9209545254707336,0.00078249886
44,0.5144171714782715,0.5129108428955078,0.9107521772384644,0.9263424873352051,4.0299215e-05
45,0.519399881362915,0.5182571411132812,0.9160872101783752,0.931328535079956,6.789561e-05
46,0.5234746336936951,0.5226134657859802,0.9208889007568359,0.9358031749725342,-0.00016806848
47,0.529848575592041,0.5294384956359863,0.9252176880836487,0.939684271812439,-0.0001536113
48,0.5351512432098389,0.5351006984710693,0.929546058177948,0.9435622692108154,0.00035880128
49,0.5384117960929871,0.5385670065879822,0.9338163137435913,0.9473555088043213,0.0003004519
50,0.5399494171142578,0.5401812791824341,0.9380066990852356,0.9510121941566467,0.00026387261
51,0.5393581986427307,0.5395240187644958,0.9418304562568665,0.9543494582176208,-1.2251621e-05
52,0.5364913940429688,0.5364385843276978,0.9457436800003052,0.9577447175979614,0.000560307
53,0.534361720085144,0.5341417789459229,0.9494724869728088,0.9610242247581482,0.00027577084
54,0.5295590162277222,0.5289973020553589,0.9531483054161072,0.9642418026924133,0.00042330907
55,0.527753472328186,0.5270630121231079,0.9567656517028809,0.9674134850502014,0.0005661505
56,0.526426374912262,0.525632917881012,0.9600691199302673,0.9703372120857239,0.00012665062
57,0.5249376893043518,0.5240402817726135,0.9633491635322571,0.9731566309928894,0.00048891094
58,0.5245185494422913,0.5235987305641174,0.9665138125419617,0.9758284091949463,0.00043941557
59,0.5224396586418152,0.521385908126831,0.9694713354110718,0.9783127903938293,0.0002100304
60,0.5207846164703369,0.5196350812911987,0.9721314907073975,0.9805126786231995,7.005321e-06
61,0.5196521878242493,0.5184412002563477,0.9743844866752625,0.9823764562606812,-0.00026697177
62,0.5192575454711914,0.5180432200431824,0.9765451550483704,0.9841206669807434,0.000342551
63,0.519685685634613,0.5185219049453735,0.9785881638526917,0.9857580065727234,0.0003482984
64,0.5183103680610657,0.5170820951461792,0.980477511882782,0.9872710108757019,8.426675e-05
65,0.5163828134536743,0.5150559544563293,0.9821559190750122,0.9886273741722107,-3.8005564e-05
66,0.5139321684837341,0.5124775171279907,0.9836835265159607,0.9898595213890076,2.9815397e-05
67,0.5150941610336304,0.5137199759483337,0.985027015209198,0.9909612536430359,0.00028120118
68,0.5154013633728027,0.5140575170516968,0.9862920641899109,0.9919896125793457,0.00015328979
69,0.5165767073631287,0.5153090953826904,0.9874706268310547,0.9929478764533997,0.0002666034
